iter_b,action_b,payoff_b,selection_method_b
803,1,3,greedy
804,1,3,greedy
805,0,5,random
806,1,0,greedy
807,0,0,greedy
808,1,0,random
809,0,0,greedy
810,1,0,greedy
811,0,0,greedy
812,1,3,greedy
813,1,3,greedy
814,1,3,greedy
815,1,3,greedy
816,1,3,greedy
817,1,3,greedy
818,1,3,greedy
819,1,3,greedy
820,1,3,greedy
821,1,3,greedy
822,1,3,greedy
823,1,3,greedy
824,0,5,random
825,1,0,greedy
826,1,0,greedy
827,0,0,random
828,1,0,greedy
829,1,0,greedy
830,1,0,greedy
831,1,0,greedy
832,0,0,greedy
833,1,0,greedy
834,0,0,greedy
835,1,0,greedy
836,0,0,greedy
837,1,3,greedy
838,1,0,greedy
839,1,0,greedy
840,0,0,greedy
841,1,0,greedy
842,0,0,greedy
843,1,0,greedy
844,0,0,greedy
845,1,0,random
846,0,0,greedy
847,1,0,greedy
848,0,0,greedy
849,1,0,random
850,0,0,greedy
851,0,0,random
852,1,0,greedy
853,1,0,greedy
854,0,0,greedy
855,1,0,greedy
856,0,0,greedy
857,1,0,greedy
858,0,0,greedy
859,1,0,greedy
860,0,0,greedy
861,1,3,greedy
862,1,0,greedy
863,1,3,greedy
864,1,0,greedy
865,1,0,greedy
866,0,0,greedy
867,1,0,greedy
868,1,0,random
869,0,0,greedy
870,0,0,greedy
871,1,0,greedy
872,0,0,greedy
873,1,0,greedy
874,1,0,random
875,0,0,greedy
876,0,0,greedy
877,1,3,greedy
878,1,3,greedy
879,1,3,greedy
880,1,3,greedy
881,1,3,greedy
882,1,3,greedy
883,1,3,greedy
884,1,3,greedy
885,1,3,greedy
886,1,3,greedy
887,1,3,greedy
888,1,3,greedy
889,1,3,greedy
890,1,3,greedy
891,1,3,greedy
892,1,3,greedy
893,1,3,greedy
894,1,3,greedy
895,1,3,greedy
896,1,3,greedy
897,1,3,greedy
898,1,3,greedy
899,1,3,greedy
900,1,3,greedy
901,1,0,greedy
902,1,3,greedy
903,1,3,random
904,1,3,greedy
905,1,3,greedy
906,1,3,random
907,1,3,greedy
908,1,3,greedy
909,0,5,random
910,1,3,greedy
911,1,3,greedy
912,1,3,greedy
913,1,3,greedy
914,1,3,greedy
915,1,3,greedy
916,1,3,greedy
917,1,3,greedy
918,1,3,greedy
919,1,3,greedy
920,1,3,random
921,1,3,random
922,1,3,greedy
923,1,3,greedy
924,1,3,greedy
925,1,3,greedy
926,1,3,random
927,1,3,greedy
928,1,3,greedy
929,1,3,greedy
930,1,3,greedy
931,1,3,greedy
932,1,3,greedy
933,0,5,random
934,0,5,random
935,0,0,random
936,1,3,random
937,1,3,greedy
938,1,3,greedy
939,1,0,greedy
940,1,0,greedy
941,1,0,greedy
942,1,0,greedy
943,1,0,greedy
944,1,0,greedy
945,1,0,greedy
946,1,0,greedy
947,1,0,greedy
948,1,0,greedy
949,1,0,greedy
950,1,0,greedy
951,1,0,random
952,1,0,greedy
953,0,0,random
954,1,0,greedy
955,1,0,random
956,1,0,greedy
957,1,0,greedy
958,1,0,greedy
959,1,0,greedy
960,1,0,greedy
961,0,0,greedy
962,1,0,greedy
963,0,0,greedy
964,1,0,greedy
965,0,0,greedy
966,1,0,random
967,0,0,greedy
968,1,0,random
969,0,0,greedy
970,0,0,random
971,1,0,greedy
972,1,0,greedy
973,0,0,greedy
974,1,0,greedy
975,0,0,greedy
976,1,0,greedy
977,0,0,greedy
978,1,0,greedy
979,0,0,greedy
980,1,0,greedy
981,0,0,greedy
982,1,0,greedy
983,0,0,greedy
984,1,0,greedy
985,0,0,greedy
986,1,0,greedy
987,0,0,greedy
988,1,0,greedy
989,0,0,greedy
990,1,0,greedy
991,0,0,greedy
992,1,0,random
993,0,0,greedy
994,1,0,greedy
995,0,0,greedy
996,1,0,greedy
997,0,0,greedy
998,1,0,greedy
999,0,0,greedy
1000,1,0,greedy
1001,0,0,greedy
1002,1,0,greedy
1003,0,0,greedy
1004,1,0,greedy
1005,1,3,random
1006,1,0,greedy
1007,0,0,greedy
1008,1,0,greedy
1009,0,0,greedy
1010,1,0,greedy
1011,0,0,greedy
1012,1,0,greedy
1013,0,0,greedy
1014,1,0,greedy
1015,0,0,greedy
1016,1,0,random
1017,0,0,greedy
1018,1,0,greedy
1019,0,0,random
1020,1,0,greedy
1021,0,0,greedy
1022,1,0,greedy
1023,0,0,greedy
1024,1,0,greedy
1025,0,0,greedy
1026,1,0,greedy
1027,0,0,greedy
1028,1,0,greedy
1029,0,0,greedy
1030,1,0,greedy
1031,0,0,greedy
1032,1,0,greedy
1033,0,0,greedy
1034,0,0,random
1035,1,3,greedy
1036,1,3,greedy
1037,1,3,greedy
1038,1,3,greedy
1039,0,0,random
1040,1,3,greedy
1041,1,3,greedy
1042,1,3,greedy
1043,1,3,greedy
1044,1,3,greedy
1045,1,3,greedy
1046,1,3,greedy
1047,1,3,greedy
1048,1,3,greedy
1049,1,3,greedy
1050,1,3,greedy
1051,1,3,greedy
1052,1,0,random
1053,1,3,greedy
1054,1,3,greedy
1055,1,3,random
1056,1,3,greedy
1057,0,5,random
