iter_b,zero_prob_b,one_prob_b
743,0.06,0.94
744,0.06,0.94
745,0.06,0.94
746,0.06,0.94
747,0.06,0.94
748,0.06,0.94
749,0.06,0.94
750,0.06,0.94
751,0.06,0.94
752,0.06,0.94
753,0.06,0.94
754,0.06,0.94
755,0.06,0.94
756,0.06,0.94
757,0.06,0.94
758,0.06,0.94
759,0.06,0.94
760,0.06,0.94
761,0.06,0.94
762,0.06,0.94
763,0.06,0.94
764,0.06,0.94
765,0.06,0.94
766,0.06,0.94
767,0.06,0.94
768,0.06,0.94
769,0.06,0.94
770,0.06,0.94
771,0.06,0.94
772,0.06,0.94
773,0.06,0.94
774,0.06,0.94
775,0.06,0.94
776,0.06,0.94
777,0.06,0.94
778,0.06,0.94
779,0.06,0.94
780,0.06,0.94
781,0.06,0.94
782,0.06,0.94
783,0.06,0.94
784,0.06,0.94
785,0.06,0.94
786,0.06,0.94
787,0.06,0.94
788,0.06,0.94
789,0.06,0.94
790,0.06,0.94
791,0.06,0.94
792,0.06,0.94
793,0.06,0.94
794,0.06,0.94
795,0.06,0.94
796,0.06,0.94
797,0.06,0.94
798,0.06,0.94
799,0.06,0.94
800,0.06,0.94
801,0.06,0.94
802,0.06,0.94
803,0.06,0.94
804,0.06,0.94
805,0.06,0.94
806,0.06,0.94
807,0.06,0.94
808,0.06,0.94
809,0.06,0.94
810,0.06,0.94
811,0.06,0.94
812,0.06,0.94
813,0.06,0.94
814,0.06,0.94
815,0.06,0.94
816,0.06,0.94
817,0.06,0.94
818,0.06,0.94
819,0.06,0.94
820,0.06,0.94
821,0.06,0.94
822,0.06,0.94
823,0.06,0.94
824,0.06,0.94
825,0.06,0.94
826,0.06,0.94
827,0.06,0.94
828,0.06,0.94
829,0.06,0.94
830,0.06,0.94
831,0.06,0.94
832,0.06,0.94
833,0.06,0.94
834,0.06,0.94
835,0.06,0.94
836,0.06,0.94
837,0.06,0.94
838,0.06,0.94
839,0.06,0.94
840,0.06,0.94
841,0.06,0.94
842,0.06,0.94
843,0.06,0.94
844,0.06,0.94
845,0.06,0.94
846,0.06,0.94
847,0.06,0.94
848,0.06,0.94
849,0.06,0.94
850,0.06,0.94
851,0.06,0.94
852,0.06,0.94
853,0.06,0.94
854,0.06,0.94
855,0.05,0.95
856,0.05,0.95
857,0.05,0.95
858,0.05,0.95
859,0.05,0.95
860,0.05,0.95
861,0.05,0.95
862,0.05,0.95
863,0.05,0.95
864,0.05,0.95
865,0.05,0.95
866,0.05,0.95
867,0.05,0.95
868,0.05,0.95
869,0.05,0.95
870,0.05,0.95
871,0.05,0.95
872,0.05,0.95
873,0.05,0.95
874,0.05,0.95
875,0.05,0.95
876,0.05,0.95
877,0.05,0.95
878,0.05,0.95
879,0.05,0.95
880,0.05,0.95
881,0.05,0.95
882,0.05,0.95
883,0.05,0.95
884,0.05,0.95
885,0.05,0.95
886,0.05,0.95
887,0.05,0.95
888,0.05,0.95
889,0.05,0.95
890,0.05,0.95
891,0.05,0.95
892,0.05,0.95
893,0.05,0.95
894,0.05,0.95
895,0.05,0.95
896,0.05,0.95
897,0.05,0.95
898,0.05,0.95
899,0.05,0.95
900,0.05,0.95
901,0.05,0.95
902,0.05,0.95
903,0.05,0.95
904,0.05,0.95
905,0.05,0.95
906,0.05,0.95
907,0.05,0.95
908,0.05,0.95
909,0.05,0.95
910,0.05,0.95
911,0.05,0.95
912,0.05,0.95
913,0.05,0.95
914,0.05,0.95
